Insertion Threads, Removal Threads, Replacement Threads,,,,
,,,,,,
16,13,21,,,,
Time,Operation,Status,Item1,Item2,Result,List
17902199, add, started,9, , , [ ] 
17904983, remove, started,9, , , [ ] 
18584767, remove, finished,9, , false, [ ] 
18609240, add, finished,9, , true, [ 9 ] 
19065134, add, started,247, , , [ 9 ] 
19065443, replace, started,9,90, , [ 9 ] 
19070419, replace, started,247,2470, , [ 9 ] 
19356699, add, finished,247, , true, [ 9 247 ] 
19420174, add, started,146, , , [ 9 247 ] 
19455443, replace, finished,247,2470, true, [ 9 247 2470 ] 
19533319, replace, finished,9,90, true, [ 90 247 2470 ] 
19764095, add, finished,146, , true, [ 90 146 247 2470 ] 
20232593, replace, started,146,1460, , [ 90 146 247 2470 ] 
20249961, replace, started,146,1460, , [ 90 146 247 2470 ] 
20263118, replace, started,146,1460, , [ 90 146 247 2470 ] 
20268358, remove, started,146, , , [ 90 146 247 2470 ] 
20277261, add, started,183, , , [ 90 146 247 2470 ] 
20282410, replace, started,183,1830, , [ 90 146 247 2470 ] 
20512523, replace, started,183,1830, , [ 90 146 247 2470 ] 
20517802, remove, started,183, , , [ 90 146 247 2470 ] 
20553895, replace, finished,146,1460, true, [ 90 146 247 1460 2470 ] 
20595197, add, started,278, , , [ 90 146 247 1460 2470 ] 
20615289, remove, started,278, , , [ 90 146 247 1460 1830 2470 ] 
20635323, replace, finished,183,1830, true, [ 90 146 247 1460 1830 2470 ] 
20676246, add, finished,183, , true, [ 90 146 183 247 1460 1830 2470 ] 
20786873, replace, finished,146,1460, false, [ 90 146 183 247 1460 1830 2470 ] 
20874035, replace, started,278,2780, , [ 90 146 183 247 1460 1830 2470 ] 
20905766, replace, finished,146,1460, false, [ 90 146 183 247 1460 1830 2470 ] 
21087095, replace, finished,278,2780, true, [ 90 146 183 247 1460 1830 2470 2780 ] 
21130013, remove, finished,183, , false, [ 90 146 183 247 1460 1830 2470 2780 ] 
21259912, remove, started,278, , , [ 90 146 183 247 1460 1830 2470 2780 ] 
21273533, remove, finished,278, , false, [ 90 146 183 247 1460 1830 2470 2780 ] 
21396278, add, finished,278, , true, [ 90 146 183 247 278 1460 1830 2470 2780 ] 
21452100, remove, started,278, , , [ 90 146 183 247 278 1460 1830 2470 2780 ] 
21470331, replace, finished,183,1830, false, [ 90 146 183 247 278 1460 1830 2470 2780 ] 
